,z,SNR,GLON,GLAT,Msz,Y500
919,-1.0,5.153649806976318,203.3257425735596,8.911352863071272,0.0,3.9398419857025146
920,-1.0,4.6476311683654785,203.7124949988946,50.823073099885264,0.0,1.9907084703445435
921,0.12200000137090683,6.68550968170166,204.10922040164567,16.511542681920773,3.7058675289154053,4.527164459228516
922,0.34540000557899475,5.870846748352051,204.24982667589956,14.517421142411365,6.011415481567383,1.1927011013031006
923,0.3440000116825104,6.106967926025391,204.73998837149637,15.88849965602138,6.221508502960205,1.3966529369354248
924,-1.0,4.774174690246582,204.91161106060667,-69.7159179071403,0.0,1.401566505432129
925,0.3100000023841858,8.94761848449707,205.05381145434038,-62.953411259056764,7.635276794433594,4.655957221984863
926,0.44665899872779846,4.628546714782715,205.4895592896264,18.701056542780904,5.832057476043701,5.568551540374756
927,-1.0,5.760268211364746,205.56081636330342,-44.2093466985979,0.0,2.1383535861968994
928,0.44541406631469727,5.250618934631348,205.65921198586022,18.105426539215344,6.037404537200928,5.602027416229248
929,0.4474000036716461,7.95127534866333,205.90407736769706,73.76163745264314,7.387940406799316,1.629337191581726
930,0.4429999887943268,13.778483390808105,205.9371945922316,-39.46211691510399,12.250381469726562,3.6487879753112793
931,0.0925000011920929,4.632386207580566,206.22737134629335,24.89029283112633,2.2748093605041504,3.370131492614746
932,0.38100001215934753,7.303734302520752,206.45955679693876,13.89267739940864,7.238685131072998,1.6028614044189453
933,-1.0,4.584023475646973,206.55307574705458,-43.2236867045558,0.0,1.0068037509918213
934,-1.0,4.930806636810303,206.75571379935053,-33.21057473980373,0.0,1.6576440334320068
935,0.3529999852180481,10.086540222167969,207.8885364200228,81.31378869126043,7.503772258758545,2.4613513946533203
936,-1.0,4.529061317443848,208.57247540882665,-44.31567748378916,0.0,1.9498804807662964
937,0.21950000524520874,10.273970603942871,208.60031589664945,-26.006350419996195,7.743840217590332,4.239606857299805
938,0.7200000286102295,4.86215353012085,208.61232314030008,-74.39451173671625,6.253783226013184,0.9358769059181213
939,0.2475000023841858,9.477376937866211,208.80739334299562,-30.670003915747458,7.255627155303955,2.5050675868988037
940,0.15970000624656677,4.794310092926025,209.17264453905125,-80.38364507271197,3.1663730144500732,1.1245989799499512
